XF,transcript_id,difference,uncertainty,stat,pval,padj,avg_coverage
AARS2,NM_020745.4,-0.5038611827314343,0.18794874600641295,-2.680843546113589,0.007343684129685023,0.17374863951685215,2.5385839386419073
ABCC10,NM_001198934.2,-0.6150122334966044,0.4421648290913377,-1.390911698609031,0.16425220487970915,0.7680356358456353,1.7485984378139579
ABCC10,NM_033450.3,-0.9185976049623241,0.3481776596574224,-2.6383013943690328,0.008332249089144482,0.17374863951685215,1.6275606657643755
ABCC10,XM_011514985.4,-0.07870526711229608,0.5103528490972571,-0.15421735619094654,0.8774383576363711,0.9997043582906195,1.1977826947079833
ABCC10,XM_047419494.1,-0.4263423039191223,0.4418692979894279,-0.9648606632301547,0.33461460642044427,0.9314478879799137,1.6416053297808229
ABCC10,XM_047419495.1,-0.4356216953899634,0.4160749558890866,-1.0469788897990953,0.2951093145924416,0.9131326649389431,1.8104608862992344
ABCF1,NM_001025091.2_7,0.13435081289212558,0.12881458019018469,1.0429783079971777,0.29695833940846755,0.9131326649389431,2.9714964552811898
ABHD16A,NM_021160.3_7,0.24289128587746478,0.34025401606580297,0.7138528111612095,0.4753181994826445,0.9805808749412689,1.9743278583335813
ABT1,NM_013375.4_2,0.3645945030284008,0.29786649956911665,1.224019832897659,0.2209447459019186,0.8226246342955361,1.723641960193751
ACOT13,NM_018473.4,-0.4119196914721728,0.325517397202968,-1.265430649825855,0.20571699387713713,0.8022487180591629,2.0717863749417367
AGPAT1,NM_001371438.1_7,0.05534760580210074,0.4528760603422558,0.12221358258653026,0.9027298697432417,0.9997299078530111,1.4532669891431178
AGPAT1,NM_006411.4_7,0.13737051108017084,0.20732272730389067,0.6625926296966715,0.5075914918013589,0.9805808749412689,2.639603593335683
ALDH5A1,NM_001080.3,-0.09348146596224671,0.2394097230672738,-0.3904664554328838,0.6961916553385397,0.9878880037402346,2.3854728480239107
ANKS1A,NM_015245.3,-0.24011988144311402,0.16133062606725498,-1.4883713483081236,0.13665298831987974,0.7680356358456353,2.5567950857096107
ATAT1,NM_001031722.4_7,-0.32693934522310153,0.5393803918370033,-0.6061387291251407,0.5444226350731807,0.9805808749412689,1.312129863784262
ATAT1,NM_001318762.3_7,-0.2527042050407309,0.43558087028277204,-0.5801545069614269,0.5618104291688466,0.9805808749412689,1.3484118798562381
ATAT1,NM_001318763.3_7,-0.3887719884163263,0.38646486556096876,-1.0059698126814418,0.31443009152542595,0.9137263901847296,1.5123374778563217
ATF6B,NM_001136153.2_4,0.016303079722827407,0.48166629911784475,0.0338472501661128,0.9729989573278711,0.9997299078530111,1.6159560679526324
ATF6B,NM_004381.5_4,-0.127453188345922,0.25033821946342083,-0.5091239708387609,0.6106653306380865,0.9805808749412689,2.4956940794637035
ATXN1,NM_001128164.2,0.23066733132616096,0.12197183613458684,1.8911524056392555,0.05860400259515916,0.5285055502977218,2.5753459865564876
ATXN1-AS1,NR_136240.1,0.2827963252613687,0.22482909551263136,1.2578279720272265,0.20845397720995903,0.8048639675606751,1.8266823411274244
BAG6,NM_001098534.2_7,0.22129628343459684,0.45805782335863054,0.48311866351715105,0.6290114829506817,0.9805808749412689,1.8222027840513448
BAG6,NM_001199698.2_7,0.09481835221052926,0.373062003572354,0.25416244833987656,0.7993700600702841,0.9890869474399049,2.390772393210676
BAG6,NM_001387956.1_7,0.30001879130971343,0.4291299027471595,0.6991328019536371,0.4844690407910346,0.9805808749412689,1.987094413300331
BAG6,NM_001387965.1_7,0.30762680389904906,0.436694794823248,0.7044434867229431,0.48115663239603657,0.9805808749412689,2.010416452763344
BAG6,NM_001387984.1_7,0.5612796908492377,0.49093023582629025,1.1432982731335368,0.2529147717524235,0.8746209299208731,1.6660747835591867
BAG6,NM_001387994.1_7,0.09694258745304207,0.41776443089585547,0.23205084081753455,0.8164985260606703,0.992455575224126,2.123448983206937
BAG6,NM_001387996.1_7,0.5640218387675837,0.45651050194336074,1.2355068204708288,0.21664193966303494,0.8212698985407779,1.8412087674443813
BAG6,NM_001387999.1_7,-0.002330813908149487,0.4900156316812846,-0.004756611335341017,0.9962047875651328,0.9997299078530111,1.7254150383282456
BAG6,NM_001388006.1_7,0.3714321934208491,0.5733128184572522,0.6478700309202037,0.517069015702456,0.9805808749412689,1.324384208473432
BAG6,NM_001388011.1_7,0.42210950075460607,0.5228434311510367,0.8073344248111418,0.41947383581087566,0.9805808749412689,1.52473704862085
BAG6,NM_080702.3_7,0.05704015431703624,0.3647336479844899,0.15638851702396772,0.8757267878977548,0.9997043582906195,2.403703109454028
BAG6,NM_080703.3_7,0.47970152628684337,0.40344862957067806,1.1890027406892132,0.23443858844700066,0.8575516787929761,2.071396977210986
BAK1,NM_001188.4,-0.4730439015523402,0.22354873208819231,-2.116066135260921,0.03433918318021923,0.4091268396043263,2.4207951392787384
BRD2,NM_001199456.2_7,-0.21489366941846022,0.07606198028301026,-2.8252442102991155,0.004724459273090506,0.1313399677919161,3.0770375574404247
BRD2,NM_001291986.2_7,-0.8695458236030779,0.11405443873071487,-7.623954256231056,2.4602058005850987e-14,5.129529094219931e-12,2.7594407915214054
BRD2,NM_005104.4_7,-0.36402853850148564,0.267873424424601,-1.3589572735086666,0.1741601282727662,0.7809115429004677,2.0799802125237017
BRD2,XM_047419222.1,-0.9720877997465025,0.16208819963700247,-5.997276803144826,2.0065387224823844e-9,2.789088824250514e-7,2.600022302223291
BRD2,XM_047419223.1,-0.11755264336128601,0.36392780242517453,-0.3230108900115029,0.7466869947432611,0.9888412045606825,1.7442841184843827
BRPF3,NM_015695.3,0.13128578092597198,0.1495630690088272,0.8777954464027714,0.3800547360654338,0.9663586886541822,2.6138728488289145
BRPF3,XM_011514490.2,-0.21683479487724377,0.2333940834816706,-0.9290500926270169,0.3528631268031575,0.9432302812622864,1.890641548556336
BRPF3,XM_011514492.2,-0.20969044166985196,0.5225515091563986,-0.4012818602483302,0.6882126173409919,0.9878880037402346,1.237821070545662
BRPF3,XM_047418650.1,0.18128214632895068,0.4383513452081154,0.4135544428245877,0.6792004431265218,0.9878880037402346,1.397670306222457
BRPF3,XM_047418651.1,-0.8418657666112576,0.4263210255464139,-1.9747226061211542,0.04829963607223956,0.5008601480545606,1.5663405390172276
BTBD9,NM_001099272.2,-0.07930967851967075,0.27436178773098013,-0.28906969580412645,0.7725280433338013,0.9888412045606825,2.0157071656003946
BTN2A1,NM_007049.5_2,-0.7812085977833085,0.17412671869209803,-4.486437254725344,7.242403280687362e-6,6.04016433609326e-4,2.342748923836358
